NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
490.51;652.29;-161.77999999999997;13;24;2;Bacharelado;Integral;L;D   ;F;1;0;0
513.24;528.26;-15.019999999999982;5;34;3;Licenciatura;Matutino;L;D   ;F;1;0;0
527.59;538.36;-10.769999999999982;7;19;6;Bacharelado;Vespertino;L;PPI ;M;1;0;1
678.41;795.7;-117.29000000000008;613;38;45;Bacharelado;Integral;A;AMPLA;M;1;1;0
586.87;572.87;14.0;4;27;6;Licenciatura;Noturno;L;PPI ;M;1;1;1
787.46;786.46;1.0;12;19;20;Bacharelado;Integral;A;AMPLA;M;1;1;1
561.84;638.03;-76.18999999999994;68;18;12;Bacharelado;Vespertino;B;AMPLA;F;1;1;1
740.66;734.18;6.480000000000018;4;19;8;Bacharelado;Integral;L;D   ;M;2;1;1
717.18;670.72;46.45999999999992;9;19;35;Bacharelado;Integral;A;AMPLA;F;1;1;1
508.88;541.55;-32.66999999999996;5;18;3;Bacharelado;Integral;L;PPI ;F;1;1;1
574.02;584.07;-10.050000000000068;16;43;12;Bacharelado;Noturno;A;AMPLA;M;2;1;1
465.45;;;3;18;5;Tecnológico;Integral;L;PPI ;M;1;1;0
554.97;554.97;0.0;15;18;15;Bacharelado;Vespertino;B;AMPLA;F;2;1;0
552.57;593.77;-41.19999999999993;18;25;4;Bacharelado;Noturno;L;D   ;M;1;1;0
578.67;579.09;-0.42000000000007276;21;19;20;Bacharelado;Noturno;A;AMPLA;F;1;1;1
513.79;618.28;-104.49000000000001;67;20;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
521.63;543.95;-22.32000000000005;7;23;5;Bacharelado;Noturno;L;PPI ;F;1;1;0
681.52;660.14;21.379999999999995;1;21;4;Área Básica de Ingresso (ABI);Integral;L;D   ;F;1;1;1
573.14;555.39;17.75;7;18;4;Licenciatura;Matutino;A;AMPLA;F;1;1;0
623.83;670.72;-46.889999999999986;65;20;35;Bacharelado;Integral;A;AMPLA;F;1;1;1
561.44;551.07;10.370000000000005;5;19;7;Área Básica de Ingresso (ABI);Integral;L;PPI ;F;1;1;1
562.42;580.45;-18.030000000000086;3;20;1;Bacharelado;Integral;L;D   ;F;1;1;0
646.61;662.73;-16.120000000000005;36;18;12;Bacharelado;Noturno;A;AMPLA;F;1;1;0
572.88;643.68;-70.79999999999995;13;19;3;Bacharelado;Integral;L;D   ;F;1;1;0
532.37;645.55;-113.17999999999995;102;20;15;Licenciatura;Matutino;B;AMPLA;F;1;1;0
518.16;514.47;3.689999999999941;6;34;7;Bacharelado;Integral;L;PPI ;M;2;1;0
473.98;;;8;21;20;Licenciatura;Vespertino;A;AMPLA;F;1;1;0
571.27;535.79;35.48000000000002;2;20;12;Bacharelado;Integral;A;AMPLA;M;1;0;0
672.86;678.52;-5.659999999999968;6;19;4;Bacharelado;Integral;L;D   ;F;1;1;1
711.43;675.3;36.129999999999995;4;20;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
601.59;551.16;50.430000000000064;1;21;9;Bacharelado;Noturno;L;PPI ;M;1;1;1
492.45;468.14;24.310000000000002;4;43;6;Licenciatura;EaD;L;D   ;F;1;1;0
536.59;611.01;-74.41999999999996;26;18;5;Bacharelado;Integral;L;PPI ;M;2;1;0
563.35;559.52;3.830000000000041;1;32;5;Bacharelado;Integral;L;PPI ;M;1;1;0
646.43;775.21;-128.7800000000001;412;19;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
526.03;;;2;19;5;Bacharelado;Integral;L;PPI ;F;1;0;0
663.91;642.76;21.149999999999977;16;18;36;Bacharelado;Integral;A;AMPLA;M;2;1;0
667.84;739.15;-71.30999999999995;128;29;11;Bacharelado;Integral;L;PPI ;F;1;0;0
607.16;623.96;-16.800000000000068;8;19;5;Licenciatura;Noturno;A;AMPLA;F;1;1;1
