NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
589.99;766.64;-176.64999999999998;307;18;10;Bacharelado;Integral;L;D   ;F;1;1;0
612.55;672.12;-59.57000000000005;120;24;12;Bacharelado;Integral;V;AMPLA;F;2;0;0
497.96;;;1;19;3;Licenciatura;Vespertino;L;D   ;M;2;1;0
553.91;536.56;17.350000000000023;26;22;20;Licenciatura;Integral;A;AMPLA;M;1;1;0
653.6;589.92;63.680000000000064;2;18;5;Bacharelado;Noturno;A;AMPLA;F;2;1;1
588.97;713.04;-124.06999999999994;197;18;30;Bacharelado;Integral;A;AMPLA;F;2;0;0
528.69;620.08;-91.38999999999999;31;22;5;Bacharelado;Noturno;L;PPI ;F;1;1;0
464.97;639.1;-174.13;75;19;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
617.23;617.23;0.0;5;18;5;Bacharelado;Vespertino;L;PPI ;M;1;1;0
558.48;569.18;-10.699999999999932;19;19;14;Bacharelado;Matutino;A;AMPLA;F;1;0;0
695.52;775.21;-79.69000000000005;248;20;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
705.34;766.64;-61.299999999999955;128;22;10;Bacharelado;Integral;L;D   ;F;1;0;0
565.49;617.23;-51.74000000000001;9;18;5;Bacharelado;Vespertino;L;PPI ;F;2;1;0
532.42;627.68;-95.25999999999999;26;20;3;Licenciatura;Vespertino;A;AMPLA;F;2;0;0
547.93;626.58;-78.65000000000009;45;20;18;Bacharelado;Integral;A;AMPLA;F;1;1;0
431.19;484.6;-53.410000000000025;12;33;4;Licenciatura;Noturno;V;AMPLA;F;2;1;0
613.2;564.64;48.56000000000006;4;19;10;Licenciatura;Integral;A;AMPLA;M;1;1;1
619.72;578.68;41.04000000000008;12;19;18;Bacharelado;Integral;A;AMPLA;F;2;0;0
618.95;618.28;0.6700000000000728;19;23;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
519.58;569.06;-49.479999999999905;57;21;1;Bacharelado;Integral;V;AMPLA;F;2;1;0
728.11;704.17;23.940000000000055;2;19;17;Bacharelado;Integral;A;AMPLA;M;1;1;1
597.24;631.44;-34.200000000000045;7;25;4;Tecnológico;Matutino;A;AMPLA;F;2;1;0
491.63;536.2;-44.57000000000005;24;19;14;Licenciatura;Matutino;A;AMPLA;M;1;1;0
490.32;412.36;77.95999999999998;6;20;9;Bacharelado;Noturno;L;PPI ;F;2;1;1
642.1;575.88;66.22000000000003;1;18;21;Licenciatura;Matutino;A;AMPLA;F;1;1;1
631.04;699.61;-68.57000000000005;7;21;2;Bacharelado;Integral;L;D   ;F;1;0;1
614.43;600.37;14.059999999999945;3;18;4;Bacharelado;Integral;L;PPI ;F;1;0;1
611.08;561.0;50.08000000000004;6;21;10;Licenciatura;Noturno;A;AMPLA;M;2;1;0
541.83;681.73;-139.89999999999998;174;19;30;Bacharelado;Integral;A;AMPLA;F;1;1;0
585.44;518.66;66.78000000000009;5;23;21;Bacharelado;Matutino;A;AMPLA;F;1;1;0
550.53;569.18;-18.649999999999977;22;18;14;Bacharelado;Matutino;A;AMPLA;F;1;1;0
579.16;695.23;-116.07000000000005;15;20;4;Bacharelado;Integral;L;D   ;F;1;1;1
538.15;534.75;3.3999999999999773;1;29;2;Bacharelado;Noturno;L;D   ;F;1;1;0
711.92;795.7;-83.78000000000009;450;21;45;Bacharelado;Integral;A;AMPLA;F;2;0;0
599.72;576.66;23.06000000000006;2;19;5;Bacharelado;Integral;L;PPI ;F;2;0;0
