NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
547.65;532.73;14.919999999999959;1;18;2;Licenciatura;Noturno;L;D   ;F;1;1;0
595.26;620.21;-24.950000000000045;11;20;7;Bacharelado;Integral;L;D   ;M;2;1;0
701.75;749.54;-47.789999999999964;82;18;22;Bacharelado;Integral;A;AMPLA;F;2;0;0
706.66;716.54;-9.879999999999995;36;19;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
687.88;684.89;2.990000000000009;16;20;20;Bacharelado;Integral;A;AMPLA;F;1;0;0
718.17;719.51;-1.3400000000000318;29;18;24;Bacharelado;Noturno;A;AMPLA;F;2;1;0
557.08;551.52;5.560000000000059;3;19;5;Bacharelado;Integral;L;D   ;F;2;1;1
683.05;645.55;37.5;1;19;15;Licenciatura;Matutino;B;AMPLA;M;2;1;0
548.74;598.99;-50.25;15;19;6;Bacharelado;Integral;L;PPI ;M;1;1;1
689.14;676.47;12.669999999999959;6;19;11;Bacharelado;Integral;L;PPI ;F;1;0;1
690.94;675.4;15.540000000000077;31;20;40;Bacharelado;Integral;A;AMPLA;F;1;1;1
542.1;541.58;0.5199999999999818;14;60;15;Bacharelado;Matutino;B;AMPLA;M;2;1;0
475.07;502.13;-27.060000000000002;2;20;1;Bacharelado;Integral;L;DD  ;M;1;1;0
511.09;598.03;-86.94;12;19;4;Licenciatura;Vespertino;L;PPI ;M;1;1;0
627.69;662.73;-35.039999999999964;53;26;8;Bacharelado;Noturno;V;AMPLA;M;1;1;0
607.22;569.91;37.31000000000006;3;22;4;Bacharelado;Integral;L;D   ;F;2;1;0
646.84;646.84;0.0;9;20;2;Bacharelado;Noturno;V;AMPLA;M;1;1;0
695.86;672.12;23.74000000000001;5;19;15;Bacharelado;Integral;A;AMPLA;F;1;1;1
477.06;534.92;-57.85999999999996;27;21;17;Tecnológico;Integral;B;AMPLA;M;1;1;1
578.55;514.16;64.38999999999999;1;19;5;Bacharelado;Integral;L;PPI ;F;1;0;0
501.68;573.14;-71.45999999999998;12;20;2;Licenciatura;Integral;L;D   ;F;1;1;0
