NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
646.7;;;2;19;20;Licenciatura;Integral;A;AMPLA;M;1;1;0
560.43;556.4;4.029999999999973;3;19;5;Licenciatura;Integral;L;PPI ;F;2;1;0
534.56;556.4;-21.840000000000032;7;20;5;Licenciatura;Integral;L;PPI ;F;2;1;0
559.23;556.4;2.830000000000041;4;21;5;Licenciatura;Integral;L;PPI ;F;2;1;0
556.4;556.4;0.0;5;20;5;Licenciatura;Integral;L;PPI ;M;1;1;0
511.29;556.4;-45.10999999999996;9;26;5;Licenciatura;Integral;L;PPI ;M;2;1;0
496.77;556.4;-59.629999999999995;10;19;5;Licenciatura;Integral;L;PPI ;F;1;1;1
519.21;556.4;-37.18999999999994;8;23;5;Licenciatura;Integral;L;PPI ;F;1;1;0
579.1;556.4;22.700000000000045;1;29;5;Licenciatura;Integral;L;PPI ;M;1;1;0
565.9;556.4;9.5;2;18;5;Licenciatura;Integral;L;PPI ;M;2;1;0
537.21;556.4;-19.18999999999994;6;25;5;Licenciatura;Integral;L;PPI ;F;1;1;0
539.2;;;4;20;5;Licenciatura;Integral;L;PPI ;F;2;1;1
563.4;;;1;18;5;Licenciatura;Integral;L;PPI ;F;1;1;1
540.29;;;3;18;5;Licenciatura;Integral;L;PPI ;M;1;1;1
547.21;;;2;19;5;Licenciatura;Integral;L;PPI ;F;1;1;0
586.4;584.3;2.1000000000000227;2;18;3;Licenciatura;Integral;L;D   ;M;1;1;0
523.97;584.3;-60.32999999999993;5;19;3;Licenciatura;Integral;L;D   ;F;2;1;1
542.83;584.3;-41.469999999999914;4;18;3;Licenciatura;Integral;L;D   ;F;2;1;0
584.3;584.3;0.0;3;23;3;Licenciatura;Integral;L;D   ;F;1;1;0
605.6;584.3;21.300000000000068;1;19;3;Licenciatura;Integral;L;D   ;F;1;1;1
585.9;585.9;0.0;3;22;3;Licenciatura;Integral;L;D   ;F;1;1;1
600.39;585.9;14.490000000000009;2;18;3;Licenciatura;Integral;L;D   ;F;2;1;1
600.43;585.9;14.529999999999973;1;20;3;Licenciatura;Integral;L;D   ;F;1;1;1
543.73;585.9;-42.16999999999996;6;20;3;Licenciatura;Integral;L;D   ;F;1;1;1
556.91;585.9;-28.99000000000001;4;22;3;Licenciatura;Integral;L;D   ;F;2;1;0
545.4;585.9;-40.5;5;19;3;Licenciatura;Integral;L;D   ;F;1;1;1
635.45;;;4;18;10;Bacharelado;Matutino;A;AMPLA;M;1;1;1
528.9;536.57;-7.670000000000073;11;20;10;Licenciatura;Matutino;A;AMPLA;M;1;1;0
508.37;536.57;-28.200000000000045;12;18;10;Licenciatura;Matutino;A;AMPLA;F;2;1;0
654.72;;;3;18;10;Bacharelado;Matutino;A;AMPLA;M;1;1;1
681.49;;;2;18;10;Bacharelado;Matutino;A;AMPLA;F;1;1;1
599.73;;;8;20;10;Bacharelado;Matutino;A;AMPLA;M;1;1;0
681.59;;;1;19;10;Bacharelado;Matutino;A;AMPLA;F;1;1;0
536.57;536.57;0.0;10;29;10;Licenciatura;Matutino;A;AMPLA;M;1;1;1
662.5;536.57;125.92999999999995;1;18;10;Licenciatura;Matutino;A;AMPLA;M;1;1;1
628.34;536.57;91.76999999999998;3;19;10;Licenciatura;Matutino;A;AMPLA;M;1;1;1
610.58;;;7;19;10;Bacharelado;Matutino;A;AMPLA;M;2;1;1
635.01;;;5;20;10;Bacharelado;Matutino;A;AMPLA;M;1;1;1
603.72;536.57;67.14999999999998;4;48;10;Licenciatura;Matutino;A;AMPLA;M;1;1;0
560.88;536.57;24.309999999999945;8;20;10;Licenciatura;Matutino;A;AMPLA;F;1;1;1
630.7;536.57;94.13;2;19;10;Licenciatura;Matutino;A;AMPLA;F;1;1;0
569.0;536.57;32.42999999999995;6;19;10;Licenciatura;Matutino;A;AMPLA;M;2;1;0
583.49;536.57;46.91999999999996;5;19;10;Licenciatura;Matutino;A;AMPLA;M;1;1;0
592.05;;;9;19;10;Bacharelado;Matutino;A;AMPLA;F;1;1;0
561.14;536.57;24.569999999999936;7;20;10;Licenciatura;Matutino;A;AMPLA;F;2;1;1
545.45;536.57;8.879999999999995;9;58;10;Licenciatura;Matutino;A;AMPLA;M;1;1;1
625.33;;;6;19;10;Bacharelado;Matutino;A;AMPLA;M;2;1;1
498.23;489.9;8.330000000000041;1;22;2;Bacharelado;Matutino;L;PPI ;F;1;1;0
487.33;489.9;-2.569999999999993;3;20;2;Bacharelado;Matutino;L;PPI ;F;1;1;0
489.9;489.9;0.0;2;19;2;Bacharelado;Matutino;L;PPI ;F;2;1;0
534.36;534.36;0.0;2;18;2;Bacharelado;Matutino;L;PPI ;F;2;1;0
526.56;;;1;18;2;Licenciatura;Matutino;L;PPI ;F;1;1;1
539.29;534.36;4.92999999999995;1;22;2;Bacharelado;Matutino;L;PPI ;M;1;1;1
551.59;551.59;0.0;1;19;1;Bacharelado;Matutino;L;D   ;M;1;1;0
519.32;616.74;-97.41999999999996;2;49;1;Licenciatura;Matutino;L;D   ;F;2;1;1
616.74;616.74;0.0;1;20;1;Licenciatura;Matutino;L;D   ;M;1;1;0
659.48;659.48;0.0;1;18;1;Bacharelado;Matutino;L;D   ;F;1;1;1
502.19;659.48;-157.29000000000002;2;21;1;Bacharelado;Matutino;L;D   ;F;1;1;0
612.79;523.68;89.11000000000001;2;18;17;Licenciatura;Noturno;A;AMPLA;F;2;1;0
608.08;523.68;84.40000000000009;5;19;17;Licenciatura;Noturno;A;AMPLA;F;2;1;1
577.48;523.68;53.80000000000007;10;19;17;Licenciatura;Noturno;A;AMPLA;M;2;1;1
615.08;523.68;91.40000000000009;1;20;17;Licenciatura;Noturno;A;AMPLA;M;2;1;1
574.12;523.68;50.440000000000055;11;18;17;Licenciatura;Noturno;A;AMPLA;M;1;1;1
601.86;523.68;78.18000000000006;6;18;17;Licenciatura;Noturno;A;AMPLA;F;2;1;1
540.16;523.68;16.480000000000018;16;22;17;Licenciatura;Noturno;A;AMPLA;M;1;1;0
608.08;523.68;84.40000000000009;4;20;17;Licenciatura;Noturno;A;AMPLA;M;1;1;1
587.32;523.68;63.6400000000001;9;32;17;Licenciatura;Noturno;A;AMPLA;M;1;1;1
611.86;523.68;88.18000000000006;3;19;17;Licenciatura;Noturno;A;AMPLA;M;2;1;1
591.05;523.68;67.37;8;19;17;Licenciatura;Noturno;A;AMPLA;M;1;1;1
594.58;523.68;70.90000000000009;7;42;17;Licenciatura;Noturno;A;AMPLA;F;1;1;1
523.68;523.68;0.0;17;18;17;Licenciatura;Noturno;A;AMPLA;M;2;1;0
527.81;;;1;25;4;Licenciatura;Noturno;L;PPI ;F;2;1;0
505.75;;;3;22;4;Licenciatura;Noturno;L;PPI ;F;2;1;0
524.92;;;2;23;4;Licenciatura;Noturno;L;PPI ;M;2;1;1
